Phage,Host,Spot #,# Plaques,Plaques per ml,EOP
15-3,28-9,1,1,333,0.00800000
15-4,28-9,2,4,6660,0.50000000
15-5,28-9,0,0,0,0.00000000
15-6,28-9,1,2,666,0.10000000
15-7,28-9,0,0,0,0.00000000
15-8,28-9,0,0,0,0.00000000
15-9,28-9,1,6,1998,0.02400000
15-10,28-9,0,0,0,0.00000000
15-11,28-9,1,4,1332,1.00000000
22-1,28-9,1,5,1665,0.04000000
22-2,28-9,0,0,0,0.00000000
22-3,28-9,2,4,6660,0.33333333
22-4,28-9,1,3,999,0.03000000
22-5,28-9,1,5,1665,0.20000000
22-6,28-9,1,4,1332,0.10000000
22-7,28-9,2,3,4995,0.50000000
22-8,28-9,0,0,0,0.00000000
22-9,28-9,1,3,999,0.00342857
22-10,28-9,1,5,1665,0.03333333
22-11,28-9,1,4,1332,0.08000000
28-1,28-9,2,6,9990,0.12000000
28-2,28-9,3,5,41625,0.83333333
28-3,28-9,2,12,19980,0.40000000
28-4,28-9,2,6,9990,0.03000000
28-5,28-9,2,5,8325,0.12500000
28-6,28-9,3,7,58275,0.05600000
28-7,28-9,1,16,5328,0.02560000
28-8,28-9,3,6,49950,0.20000000
28-9,28-9,3,4,33300,0.03200000
28-10,28-9,2,6,9990,0.17142857
28-11,28-9,2,4,6660,0.00290909
A,28-10,0,0,0,0.00000000
8-1,28-10,0,0,0,0.00000000
8-2,28-10,0,0,0,0.00000000
8-3,28-10,0,0,0,0.00000000
8-4,28-10,0,0,0,0.00000000
8-5,28-10,0,0,0,0.00000000
8-6,28-10,0,0,0,0.00000000
8-7,28-10,0,0,0,0.00000000
8-8,28-10,0,0,0,0.00000000
8-9,28-10,0,0,0,0.00000000
8-10,28-10,0,0,0,0.00000000
8-11,28-10,0,0,0,0.00000000
15-1,28-10,0,0,0,0.00000000
15-2,28-10,1,3,999,3.00000000
15-3,28-10,0,0,0,0.00000000
15-4,28-10,2,3,4995,0.37500000
15-5,28-10,0,0,0,0.00000000
15-6,28-10,1,4,1332,0.20000000
15-7,28-10,0,0,0,0.00000000
15-8,28-10,0,0,0,0.00000000
15-9,28-10,0,0,0,0.00000000
15-10,28-10,0,0,0,0.00000000
15-11,28-10,0,0,0,0.00000000
22-1,28-10,2,7,11655,0.28000000
22-2,28-10,1,4,1332,0.13333333
22-3,28-10,2,10,16650,0.83333333
22-4,28-10,1,6,1998,0.06000000
22-5,28-10,1,4,1332,0.16000000
22-6,28-10,0,0,0,0.00000000
22-7,28-10,1,9,2997,0.30000000
22-8,28-10,0,0,0,0.00000000
22-9,28-10,1,2,666,0.00228571
22-10,28-10,3,3,24975,0.50000000
22-11,28-10,2,6,9990,0.60000000
28-1,28-10,1,11,3663,0.04400000
28-2,28-10,2,5,8325,0.16666667
28-3,28-10,2,5,8325,0.16666667
28-4,28-10,2,6,9990,0.03000000
28-5,28-10,2,5,8325,0.12500000
28-6,28-10,2,5,8325,0.00800000
28-7,28-10,1,10,3330,0.01600000
28-8,28-10,1,16,5328,0.02133333
28-9,28-10,1,16,5328,0.00512000
28-10,28-10,1,19,6327,0.10857143
28-11,28-10,2,4,6660,0.00290909
A,22-1,0,0,0,0.00000000
8-1,22-1,0,0,0,0.00000000
8-2,22-1,0,0,0,0.00000000
8-3,22-1,0,0,0,0.00000000
8-4,22-1,0,0,0,0.00000000
8-5,22-1,0,0,0,0.00000000
8-6,22-1,0,0,0,0.00000000
8-7,22-1,0,0,0,0.00000000
8-8,22-1,0,0,0,0.00000000
8-9,22-1,0,0,0,0.00000000
8-10,22-1,0,0,0,0.00000000
8-11,22-1,0,0,0,0.00000000
15-1,22-1,0,0,0,0.00000000
15-2,22-1,1,2,666,0.16666667
15-3,22-1,1,6,1998,0.04000000
15-4,22-1,1,3,999,0.15000000
15-5,22-1,1,1,333,0.16666667
15-6,22-1,0,0,0,0.00000000
15-7,22-1,0,0,0,0.00000000
15-8,22-1,0,0,0,0.00000000
15-9,22-1,1,3,999,0.00240000
15-10,22-1,1,2,666,0.00320000
15-11,22-1,1,2,666,0.50000000
22-1,22-1,2,7,11655,0.23333333
22-2,22-1,0,0,0,0.00000000
22-3,22-1,1,8,2664,0.08000000
22-4,22-1,1,10,3330,0.08000000
22-5,22-1,0,0,0,0.00000000
22-6,22-1,1,3,999,0.02000000
22-7,22-1,1,1,333,0.01818182
22-8,22-1,0,0,0,0.00000000
22-9,22-1,1,4,1332,0.00266667
22-10,22-1,1,7,2331,0.03111111
22-11,22-1,2,6,9990,0.30000000
28-1,22-1,1,4,1332,0.06666667
28-2,22-1,1,8,2664,0.53333333
28-3,22-1,1,3,999,0.05000000
28-4,22-1,1,7,2331,0.20000000
28-5,22-1,1,4,1332,0.00640000
28-6,22-1,1,6,1998,0.04800000
28-7,22-1,1,5,1665,0.01000000
28-8,22-1,1,2,666,0.00177778
28-9,22-1,1,3,999,0.05000000
28-10,22-1,1,3,999,0.00400000
28-11,22-1,0,0,0,0.00000000
A,22-2,0,0,0,0.00000000
8-1,22-2,0,0,0,0.00000000
8-2,22-2,0,0,0,0.00000000
8-3,22-2,0,0,0,0.00000000
8-4,22-2,0,0,0,0.00000000
8-5,22-2,0,0,0,0.00000000
8-6,22-2,0,0,0,0.00000000
8-7,22-2,0,0,0,0.00000000
8-8,22-2,0,0,0,0.00000000
8-9,22-2,0,0,0,0.00000000
8-10,22-2,0,0,0,0.00000000
8-11,22-2,0,0,0,0.00000000
15-1,22-2,0,0,0,0.00000000
15-2,22-2,0,0,0,0.00000000
15-3,22-2,1,3,999,0.02000000
15-4,22-2,1,5,1665,0.25000000
15-5,22-2,0,0,0,0.00000000
15-6,22-2,0,0,0,0.00000000
15-7,22-2,0,0,0,0.00000000
15-8,22-2,0,0,0,0.00000000
15-9,22-2,0,0,0,0.00000000
15-10,22-2,1,3,999,0.00480000
15-11,22-2,0,0,0,0.00000000
22-1,22-2,0,0,0,0.00000000
22-2,22-2,0,0,0,0.00000000
22-3,22-2,2,8,13320,0.40000000
22-4,22-2,1,9,2997,0.07200000
22-5,22-2,0,0,0,0.00000000
22-6,22-2,0,0,0,0.00000000
22-7,22-2,1,7,2331,0.12727273
22-8,22-2,0,0,0,0.00000000
22-9,22-2,0,0,0,0.00000000
22-10,22-2,2,4,6660,0.08888889
22-11,22-2,1,9,2997,0.09000000
28-1,22-2,2,6,9990,0.50000000
28-2,22-2,2,9,14985,3.00000000
28-3,22-2,3,6,49950,2.50000000
28-4,22-2,3,4,33300,2.85714286
28-5,22-2,2,11,18315,0.08800000
28-6,22-2,3,6,49950,1.20000000
28-7,22-2,2,4,6660,0.04000000
28-8,22-2,2,5,8325,0.02222222
28-9,22-2,1,6,1998,0.10000000
28-10,22-2,1,16,5328,0.02133333
28-11,22-2,1,23,7659,0.18400000
A,22-3,0,0,0,0.00000000
8-1,22-3,0,0,0,0.00000000
8-2,22-3,0,0,0,0.00000000
8-3,22-3,0,0,0,0.00000000
8-4,22-3,0,0,0,0.00000000
8-5,22-3,0,0,0,0.00000000
8-6,22-3,0,0,0,0.00000000
8-7,22-3,0,0,0,0.00000000
8-8,22-3,0,0,0,0.00000000
8-9,22-3,0,0,0,0.00000000
8-10,22-3,0,0,0,0.00000000
8-11,22-3,0,0,0,0.00000000
15-1,22-3,0,0,0,0.00000000
15-2,22-3,0,0,0,0.00000000
15-3,22-3,0,0,0,0.00000000
15-4,22-3,1,4,1332,0.20000000
15-5,22-3,0,0,0,0.00000000
15-6,22-3,0,0,0,0.00000000
15-7,22-3,0,0,0,0.00000000
15-8,22-3,0,0,0,0.00000000
15-9,22-3,0,0,0,0.00000000
15-10,22-3,0,0,0,0.00000000
15-11,22-3,0,0,0,0.00000000
22-1,22-3,1,12,3996,0.08000000
22-2,22-3,0,0,0,0.00000000
22-3,22-3,0,0,0,0.00000000
22-4,22-3,1,5,1665,0.04000000
22-5,22-3,0,0,0,0.00000000
22-6,22-3,0,0,0,0.00000000
22-7,22-3,1,4,1332,0.07272727
22-8,22-3,0,0,0,0.00000000
22-9,22-3,1,1,333,0.00066667
22-10,22-3,1,7,2331,0.03111111
22-11,22-3,1,6,1998,0.06000000
28-1,22-3,1,15,4995,0.25000000
28-2,22-3,1,14,4662,0.93333333
28-3,22-3,1,7,2331,0.11666667
28-4,22-3,1,11,3663,0.31428571
28-5,22-3,1,4,1332,0.00640000
28-6,22-3,2,5,8325,0.20000000
28-7,22-3,2,3,4995,0.03000000
28-8,22-3,1,9,2997,0.00800000
28-9,22-3,1,6,1998,0.10000000
28-10,22-3,1,6,1998,0.00800000
28-11,22-3,1,6,1998,0.04800000
A,22-4,0,0,0,0.00000000
8-1,22-4,0,0,0,0.00000000
8-2,22-4,0,0,0,0.00000000
8-3,22-4,0,0,0,0.00000000
8-4,22-4,0,0,0,0.00000000
8-5,22-4,0,0,0,0.00000000
8-6,22-4,0,0,0,0.00000000
8-7,22-4,0,0,0,0.00000000
8-8,22-4,0,0,0,0.00000000
8-9,22-4,0,0,0,0.00000000
8-10,22-4,0,0,0,0.00000000
8-11,22-4,0,0,0,0.00000000
15-1,22-4,0,0,0,0.00000000
15-2,22-4,0,0,0,0.00000000
15-3,22-4,0,0,0,0.00000000
15-4,22-4,1,4,1332,0.20000000
15-5,22-4,1,1,333,0.16666667
15-6,22-4,1,1,333,0.02500000
15-7,22-4,0,0,0,0.00000000
15-8,22-4,0,0,0,0.00000000
15-9,22-4,1,2,666,0.00160000
15-10,22-4,0,0,0,0.00000000
15-11,22-4,0,0,0,0.00000000
22-1,22-4,1,6,1998,0.04000000
22-2,22-4,1,2,666,0.13333333
22-3,22-4,1,2,666,0.02000000
22-4,22-4,0,0,0,0.00000000
22-5,22-4,0,0,0,0.00000000
22-6,22-4,0,0,0,0.00000000
22-7,22-4,0,0,0,0.00000000
22-8,22-4,0,0,0,0.00000000
22-9,22-4,0,0,0,0.00000000
22-10,22-4,0,0,0,0.00000000
22-11,22-4,0,0,0,0.00000000
28-1,22-4,1,8,2664,0.13333333
28-2,22-4,1,7,2331,0.46666667
28-3,22-4,2,5,8325,0.41666667
28-4,22-4,1,8,2664,0.22857143
28-5,22-4,1,6,1998,0.00960000
28-6,22-4,1,3,999,0.02400000
28-7,22-4,1,7,2331,0.01400000
28-8,22-4,1,9,2997,0.00800000
28-9,22-4,1,8,2664,0.13333333
28-10,22-4,1,7,2331,0.00933333
28-11,22-4,1,8,2664,0.06400000
A,22-5,0,0,0,0.00000000
8-1,22-5,0,0,0,0.00000000
8-2,22-5,0,0,0,0.00000000
8-3,22-5,0,0,0,0.00000000
8-4,22-5,0,0,0,0.00000000
8-5,22-5,0,0,0,0.00000000
8-6,22-5,0,0,0,0.00000000
8-7,22-5,0,0,0,0.00000000
8-8,22-5,0,0,0,0.00000000
8-9,22-5,0,0,0,0.00000000
8-10,22-5,0,0,0,0.00000000
8-11,22-5,0,0,0,0.00000000
15-1,22-5,0,0,0,0.00000000
15-2,22-5,0,0,0,0.00000000
15-3,22-5,0,0,0,0.00000000
15-4,22-5,1,3,999,0.15000000
15-5,22-5,0,0,0,0.00000000
15-6,22-5,0,0,0,0.00000000
15-7,22-5,0,0,0,0.00000000
15-8,22-5,0,0,0,0.00000000
15-9,22-5,1,3,999,0.00240000
15-10,22-5,0,0,0,0.00000000
15-11,22-5,1,2,666,0.50000000
22-1,22-5,0,0,0,0.00000000
22-2,22-5,0,0,0,0.00000000
22-3,22-5,0,0,0,0.00000000
22-4,22-5,0,0,0,0.00000000
22-5,22-5,0,0,0,0.00000000
22-6,22-5,0,0,0,0.00000000
22-7,22-5,1,4,1332,0.07272727
22-8,22-5,0,0,0,0.00000000
22-9,22-5,0,0,0,0.00000000
22-10,22-5,1,6,1998,0.02666667
22-11,22-5,1,7,2331,0.07000000
28-1,22-5,1,8,2664,0.13333333
28-2,22-5,1,10,3330,0.66666667
28-3,22-5,1,10,3330,0.16666667
28-4,22-5,0,0,0,0.00000000
28-5,22-5,1,3,999,0.00480000
28-6,22-5,0,0,0,0.00000000
28-7,22-5,0,0,0,0.00000000
28-8,22-5,0,0,0,0.00000000
28-9,22-5,0,0,0,0.00000000
28-10,22-5,0,0,0,0.00000000
28-11,22-5,0,0,0,0.00000000
A,22-6,0,0,0,0.00000000
8-1,22-6,0,0,0,0.00000000
8-2,22-6,0,0,0,0.00000000
8-3,22-6,0,0,0,0.00000000
8-4,22-6,0,0,0,0.00000000
8-5,22-6,0,0,0,0.00000000
8-6,22-6,0,0,0,0.00000000
8-7,22-6,0,0,0,0.00000000
8-8,22-6,0,0,0,0.00000000
8-9,22-6,0,0,0,0.00000000
8-10,22-6,0,0,0,0.00000000
8-11,22-6,0,0,0,0.00000000
15-1,22-6,1,11,3663,0.01466667
15-2,22-6,0,0,0,0.00000000
15-3,22-6,0,0,0,0.00000000
15-4,22-6,1,8,2664,0.40000000
15-5,22-6,0,0,0,0.00000000
15-6,22-6,1,3,999,0.07500000
15-7,22-6,1,8,2664,0.05333333
15-8,22-6,0,0,0,0.00000000
15-9,22-6,0,0,0,0.00000000
15-10,22-6,1,4,1332,0.00640000
15-11,22-6,1,4,1332,1.00000000
22-1,22-6,1,5,1665,0.03333333
22-2,22-6,0,0,0,0.00000000
22-3,22-6,1,2,666,0.02000000
22-4,22-6,1,4,1332,0.03200000
22-5,22-6,1,1,333,0.02857143
22-6,22-6,0,0,0,0.00000000
22-7,22-6,0,0,0,0.00000000
22-8,22-6,0,0,0,0.00000000
22-9,22-6,0,0,0,0.00000000
22-10,22-6,0,0,0,0.00000000
22-11,22-6,0,0,0,0.00000000
28-1,22-6,3,5,41625,2.08333333
28-2,22-6,3,6,49950,10.00000000
28-3,22-6,2,8,13320,0.66666667
28-4,22-6,2,3,4995,0.42857143
28-5,22-6,2,3,4995,0.02400000
28-6,22-6,2,4,6660,0.16000000
28-7,22-6,1,6,1998,0.01200000
28-8,22-6,1,8,2664,0.00711111
28-9,22-6,1,6,1998,0.10000000
28-10,22-6,1,8,2664,0.01066667
28-11,22-6,2,3,4995,0.12000000
A,22-7,0,0,0,0.00000000
8-1,22-7,0,0,0,0.00000000
8-2,22-7,0,0,0,0.00000000
8-3,22-7,0,0,0,0.00000000
8-4,22-7,0,0,0,0.00000000
8-5,22-7,0,0,0,0.00000000
8-6,22-7,0,0,0,0.00000000
8-7,22-7,0,0,0,0.00000000
8-8,22-7,0,0,0,0.00000000
8-9,22-7,0,0,0,0.00000000
8-10,22-7,0,0,0,0.00000000
8-11,22-7,0,0,0,0.00000000
15-1,22-7,0,0,0,0.00000000
15-2,22-7,0,0,0,0.00000000
15-3,22-7,0,0,0,0.00000000
15-4,22-7,0,0,0,0.00000000
15-5,22-7,0,0,0,0.00000000
15-6,22-7,0,0,0,0.00000000
15-7,22-7,0,0,0,0.00000000
15-8,22-7,0,0,0,0.00000000
15-9,22-7,0,0,0,0.00000000
15-10,22-7,0,0,0,0.00000000
15-11,22-7,0,0,0,0.00000000
22-1,22-7,0,0,0,0.00000000
22-2,22-7,0,0,0,0.00000000
22-3,22-7,0,0,0,0.00000000
22-4,22-7,0,0,0,0.00000000
22-5,22-7,0,0,0,0.00000000
22-6,22-7,0,0,0,0.00000000
22-7,22-7,0,0,0,0.00000000
22-8,22-7,0,0,0,0.00000000
22-9,22-7,0,0,0,0.00000000
22-10,22-7,0,0,0,0.00000000
22-11,22-7,0,0,0,0.00000000
28-1,22-7,2,6,9990,0.50000000
28-2,22-7,2,6,9990,2.00000000
28-3,22-7,1,7,2331,0.11666667
28-4,22-7,2,4,6660,0.57142857
28-5,22-7,1,8,2664,0.01280000
28-6,22-7,1,7,2331,0.05600000
28-7,22-7,1,7,2331,0.01400000
28-8,22-7,1,5,1665,0.00444444
28-9,22-7,0,0,0,0.00000000
28-10,22-7,1,6,1998,0.00800000
28-11,22-7,1,7,2331,0.05600000
A,22-8,0,0,0,0.00000000
8-1,22-8,0,0,0,0.00000000
8-2,22-8,0,0,0,0.00000000
8-3,22-8,0,0,0,0.00000000
8-4,22-8,0,0,0,0.00000000
8-5,22-8,0,0,0,0.00000000
8-6,22-8,0,0,0,0.00000000
8-7,22-8,0,0,0,0.00000000
8-8,22-8,0,0,0,0.00000000
8-9,22-8,0,0,0,0.00000000
8-10,22-8,0,0,0,0.00000000
8-11,22-8,0,0,0,0.00000000
15-1,22-8,0,0,0,0.00000000
15-2,22-8,0,0,0,0.00000000
15-3,22-8,0,0,0,0.00000000
15-4,22-8,1,4,1332,0.20000000
15-5,22-8,0,0,0,0.00000000
15-6,22-8,0,0,0,0.00000000
15-7,22-8,0,0,0,0.00000000
15-8,22-8,0,0,0,0.00000000
15-9,22-8,0,0,0,0.00000000
15-10,22-8,1,3,999,0.00480000
15-11,22-8,0,0,0,0.00000000
22-1,22-8,2,8,13320,0.26666667
22-2,22-8,1,3,999,0.20000000
22-3,22-8,2,8,13320,0.40000000
22-4,22-8,2,4,6660,0.16000000
22-5,22-8,1,3,999,0.08571429
22-6,22-8,1,4,1332,0.02666667
22-7,22-8,1,10,3330,0.18181818
22-8,22-8,1,3,999,0.00400000
22-9,22-8,1,1,333,0.00066667
22-10,22-8,1,5,1665,0.02222222
22-11,22-8,1,6,1998,0.06000000
28-1,22-8,3,8,66600,3.33333333
28-2,22-8,2,6,9990,2.00000000
28-3,22-8,2,3,4995,0.25000000
28-4,22-8,3,5,41625,3.57142857
28-5,22-8,3,4,33300,0.16000000
28-6,22-8,3,5,41625,1.00000000
28-7,22-8,2,4,6660,0.04000000
28-8,22-8,1,16,5328,0.01422222
28-9,22-8,2,5,8325,0.41666667
28-10,22-8,1,10,3330,0.01333333
28-11,22-8,1,14,4662,0.11200000
A,22-9,0,0,0,0.00000000
8-1,22-9,0,0,0,0.00000000
8-2,22-9,0,0,0,0.00000000
8-3,22-9,0,0,0,0.00000000
8-4,22-9,0,0,0,0.00000000
8-5,22-9,0,0,0,0.00000000
8-6,22-9,0,0,0,0.00000000
8-7,22-9,0,0,0,0.00000000
8-8,22-9,0,0,0,0.00000000
8-9,22-9,0,0,0,0.00000000
8-10,22-9,0,0,0,0.00000000
8-11,22-9,0,0,0,0.00000000
15-1,22-9,0,0,0,0.00000000
15-2,22-9,0,0,0,0.00000000
15-3,22-9,0,0,0,0.00000000
15-4,22-9,1,8,2664,0.40000000
15-5,22-9,0,0,0,0.00000000
15-6,22-9,0,0,0,0.00000000
15-7,22-9,0,0,0,0.00000000
15-8,22-9,0,0,0,0.00000000
15-9,22-9,0,0,0,0.00000000
15-10,22-9,0,0,0,0.00000000
15-11,22-9,0,0,0,0.00000000
22-1,22-9,1,3,999,0.02000000
22-2,22-9,0,0,0,0.00000000
22-3,22-9,1,4,1332,0.04000000
22-4,22-9,1,5,1665,0.04000000
22-5,22-9,0,0,0,0.00000000
22-6,22-9,0,0,0,0.00000000
22-7,22-9,1,9,2997,0.16363636
22-8,22-9,0,0,0,0.00000000
22-9,22-9,0,0,0,0.00000000
22-10,22-9,2,5,8325,0.11111111
22-11,22-9,1,7,2331,0.07000000
28-1,22-9,3,9,74925,3.75000000
28-2,22-9,2,6,9990,2.00000000
28-3,22-9,2,8,13320,0.66666667
28-4,22-9,2,5,8325,0.71428571
28-5,22-9,3,5,41625,0.20000000
28-6,22-9,2,8,13320,0.32000000
28-7,22-9,2,6,9990,0.06000000
28-8,22-9,2,3,4995,0.01333333
28-9,22-9,2,4,6660,0.33333333
28-10,22-9,2,5,8325,0.03333333
28-11,22-9,1,7,2331,0.05600000
A,22-10,0,0,0,0.00000000
8-1,22-10,0,0,0,0.00000000
8-2,22-10,0,0,0,0.00000000
8-3,22-10,0,0,0,0.00000000
8-4,22-10,0,0,0,0.00000000
8-5,22-10,0,0,0,0.00000000
8-6,22-10,0,0,0,0.00000000
8-7,22-10,0,0,0,0.00000000
8-8,22-10,0,0,0,0.00000000
8-9,22-10,0,0,0,0.00000000
8-10,22-10,0,0,0,0.00000000
8-11,22-10,0,0,0,0.00000000
15-1,22-10,0,0,0,0.00000000
15-2,22-10,0,0,0,0.00000000
15-3,22-10,0,0,0,0.00000000
15-4,22-10,1,5,1665,0.25000000
15-5,22-10,0,0,0,0.00000000
15-6,22-10,1,1,333,0.02500000
15-7,22-10,0,0,0,0.00000000
15-8,22-10,0,0,0,0.00000000
15-9,22-10,1,1,333,0.00080000
15-10,22-10,0,0,0,0.00000000
15-11,22-10,0,0,0,0.00000000
22-1,22-10,1,11,3663,0.07333333
22-2,22-10,1,3,999,0.20000000
22-3,22-10,1,9,2997,0.09000000
22-4,22-10,1,3,999,0.02400000
22-5,22-10,1,3,999,0.08571429
22-6,22-10,1,1,333,0.00666667
22-7,22-10,1,5,1665,0.09090909
22-8,22-10,0,0,0,0.00000000
22-9,22-10,0,0,0,0.00000000
22-10,22-10,1,3,999,0.01333333
22-11,22-10,1,1,333,0.01000000
28-1,22-10,0,0,0,0.00000000
28-2,22-10,0,0,0,0.00000000
28-3,22-10,0,0,0,0.00000000
28-4,22-10,0,0,0,0.00000000
28-5,22-10,0,0,0,0.00000000
28-6,22-10,0,0,0,0.00000000
28-7,22-10,0,0,0,0.00000000
28-8,22-10,0,0,0,0.00000000
28-9,22-10,0,0,0,0.00000000
28-10,22-10,0,0,0,0.00000000
28-11,22-10,0,0,0,0.00000000
A,15-1,0,0,0,0.00000000
8-1,15-1,0,0,0,0.00000000
8-2,15-1,0,0,0,0.00000000
8-3,15-1,0,0,0,0.00000000
8-4,15-1,0,0,0,0.00000000
8-5,15-1,0,0,0,0.00000000
8-6,15-1,0,0,0,0.00000000
8-7,15-1,0,0,0,0.00000000
8-8,15-1,0,0,0,0.00000000
8-9,15-1,0,0,0,0.00000000
8-10,15-1,0,0,0,0.00000000
8-11,15-1,0,0,0,0.00000000
15-1,15-1,0,0,0,0.00000000
15-2,15-1,0,0,0,0.00000000
15-3,15-1,0,0,0,0.00000000
15-4,15-1,1,4,1332,0.20000000
15-5,15-1,1,2,666,0.33333333
15-6,15-1,0,0,0,0.00000000
15-7,15-1,1,2,666,0.01333333
15-8,15-1,0,0,0,0.00000000
15-9,15-1,1,4,1332,0.00320000
15-10,15-1,1,4,1332,0.00640000
15-11,15-1,1,2,666,0.50000000
22-1,15-1,2,9,14985,0.30000000
22-2,15-1,1,1,333,0.06666667
22-3,15-1,2,5,8325,0.25000000
22-4,15-1,2,6,9990,0.24000000
22-5,15-1,1,4,1332,0.11428571
22-6,15-1,1,3,999,0.02000000
22-7,15-1,2,6,9990,0.54545455
22-8,15-1,0,0,0,0.00000000
22-9,15-1,1,4,1332,0.00266667
22-10,15-1,2,7,11655,0.15555556
22-11,15-1,2,6,9990,0.30000000
28-1,15-1,3,6,49950,2.50000000
28-2,15-1,3,6,49950,10.00000000
28-3,15-1,1,14,4662,0.23333333
28-4,15-1,2,9,14985,1.28571429
28-5,15-1,2,4,6660,0.03200000
28-6,15-1,2,17,28305,0.68000000
28-7,15-1,2,13,21645,0.13000000
28-8,15-1,3,6,49950,0.13333333
28-9,15-1,2,7,11655,0.58333333
28-10,15-1,1,16,5328,0.02133333
28-11,15-1,1,25,8325,0.20000000
A,15-2,0,0,0,0.00000000
8-1,15-2,0,0,0,0.00000000
8-2,15-2,0,0,0,0.00000000
8-3,15-2,0,0,0,0.00000000
8-4,15-2,0,0,0,0.00000000
8-5,15-2,0,0,0,0.00000000
8-6,15-2,0,0,0,0.00000000
8-7,15-2,0,0,0,0.00000000
8-8,15-2,0,0,0,0.00000000
8-9,15-2,0,0,0,0.00000000
8-10,15-2,0,0,0,0.00000000
8-11,15-2,0,0,0,0.00000000
15-1,15-2,0,0,0,0.00000000
15-2,15-2,0,0,0,0.00000000
15-3,15-2,1,2,666,0.01333333
15-4,15-2,1,6,1998,0.30000000
15-5,15-2,1,2,666,0.33333333
15-6,15-2,1,1,333,0.02500000
15-7,15-2,1,2,666,0.01333333
15-8,15-2,0,0,0,0.00000000
15-9,15-2,0,0,0,0.00000000
15-10,15-2,1,2,666,0.00320000
15-11,15-2,1,4,1332,1.00000000
22-1,15-2,2,6,9990,0.20000000
22-2,15-2,1,2,666,0.13333333
22-3,15-2,2,4,6660,0.20000000
22-4,15-2,0,0,0,0.00000000
22-5,15-2,0,0,0,0.00000000
22-6,15-2,0,0,0,0.00000000
22-7,15-2,1,7,2331,0.12727273
22-8,15-2,1,1,333,0.00133333
22-9,15-2,1,2,666,0.00133333
22-10,15-2,1,8,2664,0.03555556
22-11,15-2,1,6,1998,0.06000000
28-1,15-2,2,6,9990,0.50000000
28-2,15-2,2,7,11655,2.33333333
28-3,15-2,2,10,16650,0.83333333
28-4,15-2,2,6,9990,0.85714286
28-5,15-2,2,6,9990,0.04800000
28-6,15-2,2,11,18315,0.44000000
28-7,15-2,2,9,14985,0.09000000
28-8,15-2,1,7,2331,0.00622222
28-9,15-2,1,10,3330,0.16666667
28-10,15-2,1,11,3663,0.01466667
28-11,15-2,2,6,9990,0.24000000
A,15-3,0,0,0,0.00000000
8-1,15-3,0,0,0,0.00000000
8-2,15-3,0,0,0,0.00000000
8-3,15-3,0,0,0,0.00000000
8-4,15-3,0,0,0,0.00000000
8-5,15-3,0,0,0,0.00000000
8-6,15-3,0,0,0,0.00000000
8-7,15-3,0,0,0,0.00000000
8-8,15-3,0,0,0,0.00000000
8-9,15-3,0,0,0,0.00000000
8-10,15-3,0,0,0,0.00000000
8-11,15-3,0,0,0,0.00000000
15-1,15-3,0,0,0,0.00000000
15-2,15-3,0,0,0,0.00000000
15-3,15-3,0,0,0,0.00000000
15-4,15-3,0,0,0,0.00000000
15-5,15-3,0,0,0,0.00000000
15-6,15-3,0,0,0,0.00000000
15-7,15-3,0,0,0,0.00000000
15-8,15-3,0,0,0,0.00000000
15-9,15-3,0,0,0,0.00000000
15-10,15-3,0,0,0,0.00000000
15-11,15-3,0,0,0,0.00000000
22-1,15-3,1,7,2331,0.04666667
22-2,15-3,0,0,0,0.00000000
22-3,15-3,2,6,9990,0.30000000
22-4,15-3,1,9,2997,0.07200000
22-5,15-3,1,6,1998,0.17142857
22-6,15-3,1,3,999,0.02000000
22-7,15-3,1,16,5328,0.29090909
22-8,15-3,0,0,0,0.00000000
22-9,15-3,1,7,2331,0.00466667
22-10,15-3,2,5,8325,0.11111111
22-11,15-3,2,6,9990,0.30000000
28-1,15-3,0,0,0,0.00000000
28-2,15-3,0,0,0,0.00000000
28-3,15-3,0,0,0,0.00000000
28-4,15-3,0,0,0,0.00000000
28-5,15-3,0,0,0,0.00000000
28-6,15-3,0,0,0,0.00000000
28-7,15-3,1,6,1998,0.01200000
28-8,15-3,1,7,2331,0.00622222
28-9,15-3,1,6,1998,0.10000000
28-10,15-3,1,6,1998,0.00800000
28-11,15-3,1,9,2997,0.07200000
A,15-4,0,0,0,0.00000000
8-1,15-4,0,0,0,0.00000000
8-2,15-4,0,0,0,0.00000000
8-3,15-4,0,0,0,0.00000000
8-4,15-4,0,0,0,0.00000000
8-5,15-4,0,0,0,0.00000000
8-6,15-4,0,0,0,0.00000000
8-7,15-4,0,0,0,0.00000000
8-8,15-4,0,0,0,0.00000000
8-9,15-4,0,0,0,0.00000000
8-10,15-4,0,0,0,0.00000000
8-11,15-4,0,0,0,0.00000000
15-1,15-4,0,0,0,0.00000000
15-2,15-4,0,0,0,0.00000000
15-3,15-4,0,0,0,0.00000000
15-4,15-4,1,4,1332,0.20000000
15-5,15-4,0,0,0,0.00000000
15-6,15-4,0,0,0,0.00000000
15-7,15-4,0,0,0,0.00000000
15-8,15-4,0,0,0,0.00000000
15-9,15-4,1,4,1332,0.00320000
15-10,15-4,1,2,666,0.00320000
15-11,15-4,1,2,666,0.50000000
22-1,15-4,0,0,0,0.00000000
22-2,15-4,0,0,0,0.00000000
22-3,15-4,2,5,8325,0.25000000
22-4,15-4,1,3,999,0.02400000
