Time,Well,OD600,Strain,Phage,malTmut,X777bpdel,Treatment
0,A3,0.112,D37-7,No,Yes,Yes,malT- 777del
300,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
600,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
900,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
1201,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
1500,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
1801,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
2100,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
2401,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
2700,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
3000,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
3300,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
3600,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
3901,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
4200,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
4501,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
4800,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
5101,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
5400,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
5700,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
6000,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
6300,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
6601,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
6900,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
7201,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
7500,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
7801,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
8100,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
8400,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
8700,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
9000,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
9301,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
9600,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
9901,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
10200,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
10501,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
10800,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
11100,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
11400,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
11700,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
12001,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
12300,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
12601,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
12900,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
13201,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
13500,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
13800,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
14100,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
14400,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
14701,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
15000,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
15301,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
15600,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
15901,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
16200,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
16500,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
16800,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
17100,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
17401,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
17700,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
18001,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
18300,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
18601,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
18900,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
19200,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
19500,A3,0.119,D37-7,No,Yes,Yes,malT- 777del
19800,A3,0.119,D37-7,No,Yes,Yes,malT- 777del
20101,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
20400,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
20701,A3,0.12,D37-7,No,Yes,Yes,malT- 777del
21000,A3,0.119,D37-7,No,Yes,Yes,malT- 777del
21301,A3,0.12,D37-7,No,Yes,Yes,malT- 777del
21600,A3,0.12,D37-7,No,Yes,Yes,malT- 777del
21900,A3,0.12,D37-7,No,Yes,Yes,malT- 777del
22200,A3,0.121,D37-7,No,Yes,Yes,malT- 777del
22500,A3,0.121,D37-7,No,Yes,Yes,malT- 777del
22801,A3,0.121,D37-7,No,Yes,Yes,malT- 777del
23100,A3,0.122,D37-7,No,Yes,Yes,malT- 777del
23401,A3,0.122,D37-7,No,Yes,Yes,malT- 777del
23700,A3,0.123,D37-7,No,Yes,Yes,malT- 777del
24001,A3,0.124,D37-7,No,Yes,Yes,malT- 777del
24300,A3,0.124,D37-7,No,Yes,Yes,malT- 777del
24600,A3,0.127,D37-7,No,Yes,Yes,malT- 777del
24900,A3,0.128,D37-7,No,Yes,Yes,malT- 777del
25200,A3,0.129,D37-7,No,Yes,Yes,malT- 777del
25501,A3,0.129,D37-7,No,Yes,Yes,malT- 777del
25800,A3,0.133,D37-7,No,Yes,Yes,malT- 777del
26101,A3,0.135,D37-7,No,Yes,Yes,malT- 777del
26400,A3,0.138,D37-7,No,Yes,Yes,malT- 777del
26701,A3,0.142,D37-7,No,Yes,Yes,malT- 777del
27000,A3,0.145,D37-7,No,Yes,Yes,malT- 777del
27300,A3,0.149,D37-7,No,Yes,Yes,malT- 777del
27600,A3,0.155,D37-7,No,Yes,Yes,malT- 777del
27900,A3,0.161,D37-7,No,Yes,Yes,malT- 777del
28201,A3,0.166,D37-7,No,Yes,Yes,malT- 777del
28500,A3,0.174,D37-7,No,Yes,Yes,malT- 777del
28801,A3,0.179,D37-7,No,Yes,Yes,malT- 777del
29100,A3,0.185,D37-7,No,Yes,Yes,malT- 777del
29401,A3,0.192,D37-7,No,Yes,Yes,malT- 777del
29700,A3,0.2,D37-7,No,Yes,Yes,malT- 777del
30000,A3,0.209,D37-7,No,Yes,Yes,malT- 777del
30300,A3,0.217,D37-7,No,Yes,Yes,malT- 777del
30600,A3,0.227,D37-7,No,Yes,Yes,malT- 777del
30901,A3,0.237,D37-7,No,Yes,Yes,malT- 777del
31200,A3,0.248,D37-7,No,Yes,Yes,malT- 777del
31501,A3,0.258,D37-7,No,Yes,Yes,malT- 777del
31800,A3,0.27,D37-7,No,Yes,Yes,malT- 777del
32101,A3,0.282,D37-7,No,Yes,Yes,malT- 777del
32400,A3,0.294,D37-7,No,Yes,Yes,malT- 777del
32700,A3,0.307,D37-7,No,Yes,Yes,malT- 777del
33000,A3,0.32,D37-7,No,Yes,Yes,malT- 777del
33300,A3,0.331,D37-7,No,Yes,Yes,malT- 777del
33601,A3,0.34,D37-7,No,Yes,Yes,malT- 777del
33900,A3,0.35,D37-7,No,Yes,Yes,malT- 777del
34201,A3,0.361,D37-7,No,Yes,Yes,malT- 777del
34500,A3,0.375,D37-7,No,Yes,Yes,malT- 777del
34801,A3,0.387,D37-7,No,Yes,Yes,malT- 777del
35100,A3,0.402,D37-7,No,Yes,Yes,malT- 777del
35400,A3,0.416,D37-7,No,Yes,Yes,malT- 777del
35700,A3,0.429,D37-7,No,Yes,Yes,malT- 777del
36000,A3,0.439,D37-7,No,Yes,Yes,malT- 777del
36301,A3,0.449,D37-7,No,Yes,Yes,malT- 777del
36600,A3,0.456,D37-7,No,Yes,Yes,malT- 777del
36901,A3,0.465,D37-7,No,Yes,Yes,malT- 777del
37200,A3,0.471,D37-7,No,Yes,Yes,malT- 777del
37501,A3,0.479,D37-7,No,Yes,Yes,malT- 777del
37800,A3,0.486,D37-7,No,Yes,Yes,malT- 777del
38100,A3,0.493,D37-7,No,Yes,Yes,malT- 777del
38400,A3,0.499,D37-7,No,Yes,Yes,malT- 777del
38700,A3,0.506,D37-7,No,Yes,Yes,malT- 777del
39001,A3,0.511,D37-7,No,Yes,Yes,malT- 777del
39300,A3,0.516,D37-7,No,Yes,Yes,malT- 777del
39601,A3,0.519,D37-7,No,Yes,Yes,malT- 777del
39900,A3,0.522,D37-7,No,Yes,Yes,malT- 777del
40201,A3,0.527,D37-7,No,Yes,Yes,malT- 777del
40500,A3,0.534,D37-7,No,Yes,Yes,malT- 777del
40800,A3,0.535,D37-7,No,Yes,Yes,malT- 777del
41100,A3,0.537,D37-7,No,Yes,Yes,malT- 777del
41400,A3,0.539,D37-7,No,Yes,Yes,malT- 777del
41701,A3,0.543,D37-7,No,Yes,Yes,malT- 777del
42000,A3,0.547,D37-7,No,Yes,Yes,malT- 777del
42301,A3,0.556,D37-7,No,Yes,Yes,malT- 777del
42600,A3,0.553,D37-7,No,Yes,Yes,malT- 777del
42901,A3,0.559,D37-7,No,Yes,Yes,malT- 777del
43200,A3,0.561,D37-7,No,Yes,Yes,malT- 777del
43500,A3,0.562,D37-7,No,Yes,Yes,malT- 777del
43800,A3,0.567,D37-7,No,Yes,Yes,malT- 777del
44100,A3,0.568,D37-7,No,Yes,Yes,malT- 777del
44401,A3,0.572,D37-7,No,Yes,Yes,malT- 777del
44700,A3,0.572,D37-7,No,Yes,Yes,malT- 777del
45001,A3,0.578,D37-7,No,Yes,Yes,malT- 777del
45300,A3,0.58,D37-7,No,Yes,Yes,malT- 777del
45601,A3,0.591,D37-7,No,Yes,Yes,malT- 777del
45900,A3,0.59,D37-7,No,Yes,Yes,malT- 777del
46200,A3,0.598,D37-7,No,Yes,Yes,malT- 777del
46500,A3,0.599,D37-7,No,Yes,Yes,malT- 777del
46800,A3,0.601,D37-7,No,Yes,Yes,malT- 777del
47101,A3,0.602,D37-7,No,Yes,Yes,malT- 777del
47400,A3,0.603,D37-7,No,Yes,Yes,malT- 777del
47701,A3,0.607,D37-7,No,Yes,Yes,malT- 777del
48000,A3,0.607,D37-7,No,Yes,Yes,malT- 777del
48301,A3,0.609,D37-7,No,Yes,Yes,malT- 777del
48600,A3,0.613,D37-7,No,Yes,Yes,malT- 777del
48900,A3,0.613,D37-7,No,Yes,Yes,malT- 777del
49200,A3,0.616,D37-7,No,Yes,Yes,malT- 777del
49500,A3,0.618,D37-7,No,Yes,Yes,malT- 777del
49801,A3,0.621,D37-7,No,Yes,Yes,malT- 777del
50100,A3,0.623,D37-7,No,Yes,Yes,malT- 777del
50401,A3,0.628,D37-7,No,Yes,Yes,malT- 777del
50700,A3,0.634,D37-7,No,Yes,Yes,malT- 777del
51001,A3,0.632,D37-7,No,Yes,Yes,malT- 777del
51300,A3,0.639,D37-7,No,Yes,Yes,malT- 777del
51600,A3,0.639,D37-7,No,Yes,Yes,malT- 777del
51900,A3,0.637,D37-7,No,Yes,Yes,malT- 777del
52200,A3,0.638,D37-7,No,Yes,Yes,malT- 777del
52501,A3,0.639,D37-7,No,Yes,Yes,malT- 777del
52800,A3,0.644,D37-7,No,Yes,Yes,malT- 777del
53101,A3,0.643,D37-7,No,Yes,Yes,malT- 777del
53400,A3,0.647,D37-7,No,Yes,Yes,malT- 777del
53701,A3,0.648,D37-7,No,Yes,Yes,malT- 777del
54000,A3,0.649,D37-7,No,Yes,Yes,malT- 777del
54300,A3,0.65,D37-7,No,Yes,Yes,malT- 777del
54600,A3,0.651,D37-7,No,Yes,Yes,malT- 777del
54900,A3,0.654,D37-7,No,Yes,Yes,malT- 777del
55201,A3,0.655,D37-7,No,Yes,Yes,malT- 777del
55500,A3,0.656,D37-7,No,Yes,Yes,malT- 777del
55801,A3,0.659,D37-7,No,Yes,Yes,malT- 777del
56100,A3,0.656,D37-7,No,Yes,Yes,malT- 777del
56401,A3,0.657,D37-7,No,Yes,Yes,malT- 777del
56700,A3,0.661,D37-7,No,Yes,Yes,malT- 777del
57000,A3,0.667,D37-7,No,Yes,Yes,malT- 777del
57300,A3,0.665,D37-7,No,Yes,Yes,malT- 777del
57600,A3,0.663,D37-7,No,Yes,Yes,malT- 777del
57901,A3,0.668,D37-7,No,Yes,Yes,malT- 777del
58200,A3,0.672,D37-7,No,Yes,Yes,malT- 777del
58501,A3,0.671,D37-7,No,Yes,Yes,malT- 777del
58800,A3,0.673,D37-7,No,Yes,Yes,malT- 777del
59101,A3,0.68,D37-7,No,Yes,Yes,malT- 777del
59400,A3,0.679,D37-7,No,Yes,Yes,malT- 777del
59700,A3,0.679,D37-7,No,Yes,Yes,malT- 777del
60000,A3,0.68,D37-7,No,Yes,Yes,malT- 777del
60300,A3,0.684,D37-7,No,Yes,Yes,malT- 777del
60601,A3,0.685,D37-7,No,Yes,Yes,malT- 777del
60900,A3,0.692,D37-7,No,Yes,Yes,malT- 777del
61201,A3,0.687,D37-7,No,Yes,Yes,malT- 777del
61500,A3,0.691,D37-7,No,Yes,Yes,malT- 777del
61801,A3,0.694,D37-7,No,Yes,Yes,malT- 777del
62100,A3,0.705,D37-7,No,Yes,Yes,malT- 777del
62400,A3,0.699,D37-7,No,Yes,Yes,malT- 777del
62700,A3,0.703,D37-7,No,Yes,Yes,malT- 777del
63000,A3,0.705,D37-7,No,Yes,Yes,malT- 777del
63301,A3,0.704,D37-7,No,Yes,Yes,malT- 777del
63600,A3,0.709,D37-7,No,Yes,Yes,malT- 777del
63901,A3,0.711,D37-7,No,Yes,Yes,malT- 777del
64200,A3,0.712,D37-7,No,Yes,Yes,malT- 777del
64501,A3,0.72,D37-7,No,Yes,Yes,malT- 777del
64800,A3,0.718,D37-7,No,Yes,Yes,malT- 777del
65100,A3,0.722,D37-7,No,Yes,Yes,malT- 777del
65400,A3,0.73,D37-7,No,Yes,Yes,malT- 777del
65700,A3,0.725,D37-7,No,Yes,Yes,malT- 777del
66001,A3,0.728,D37-7,No,Yes,Yes,malT- 777del
66300,A3,0.731,D37-7,No,Yes,Yes,malT- 777del
66601,A3,0.732,D37-7,No,Yes,Yes,malT- 777del
66900,A3,0.736,D37-7,No,Yes,Yes,malT- 777del
67201,A3,0.736,D37-7,No,Yes,Yes,malT- 777del
67500,A3,0.737,D37-7,No,Yes,Yes,malT- 777del
67800,A3,0.741,D37-7,No,Yes,Yes,malT- 777del
68100,A3,0.752,D37-7,No,Yes,Yes,malT- 777del
68400,A3,0.751,D37-7,No,Yes,Yes,malT- 777del
68701,A3,0.75,D37-7,No,Yes,Yes,malT- 777del
69000,A3,0.745,D37-7,No,Yes,Yes,malT- 777del
69301,A3,0.75,D37-7,No,Yes,Yes,malT- 777del
69600,A3,0.752,D37-7,No,Yes,Yes,malT- 777del
69901,A3,0.759,D37-7,No,Yes,Yes,malT- 777del
70200,A3,0.754,D37-7,No,Yes,Yes,malT- 777del
70500,A3,0.766,D37-7,No,Yes,Yes,malT- 777del
70800,A3,0.763,D37-7,No,Yes,Yes,malT- 777del
71100,A3,0.765,D37-7,No,Yes,Yes,malT- 777del
71401,A3,0.768,D37-7,No,Yes,Yes,malT- 777del
71700,A3,0.769,D37-7,No,Yes,Yes,malT- 777del
72001,A3,0.778,D37-7,No,Yes,Yes,malT- 777del
0,B3,0.11,D37-7,No,Yes,Yes,malT- 777del
300,B3,0.113,D37-7,No,Yes,Yes,malT- 777del
600,B3,0.112,D37-7,No,Yes,Yes,malT- 777del
900,B3,0.113,D37-7,No,Yes,Yes,malT- 777del
1201,B3,0.114,D37-7,No,Yes,Yes,malT- 777del
1500,B3,0.114,D37-7,No,Yes,Yes,malT- 777del
1801,B3,0.114,D37-7,No,Yes,Yes,malT- 777del
2100,B3,0.114,D37-7,No,Yes,Yes,malT- 777del
2401,B3,0.114,D37-7,No,Yes,Yes,malT- 777del
2700,B3,0.113,D37-7,No,Yes,Yes,malT- 777del
3000,B3,0.114,D37-7,No,Yes,Yes,malT- 777del
3300,B3,0.115,D37-7,No,Yes,Yes,malT- 777del
3600,B3,0.114,D37-7,No,Yes,Yes,malT- 777del
3901,B3,0.115,D37-7,No,Yes,Yes,malT- 777del
4200,B3,0.114,D37-7,No,Yes,Yes,malT- 777del
4501,B3,0.114,D37-7,No,Yes,Yes,malT- 777del
4800,B3,0.114,D37-7,No,Yes,Yes,malT- 777del
5101,B3,0.114,D37-7,No,Yes,Yes,malT- 777del
5400,B3,0.115,D37-7,No,Yes,Yes,malT- 777del
5700,B3,0.115,D37-7,No,Yes,Yes,malT- 777del
6000,B3,0.114,D37-7,No,Yes,Yes,malT- 777del
6300,B3,0.114,D37-7,No,Yes,Yes,malT- 777del
6601,B3,0.114,D37-7,No,Yes,Yes,malT- 777del
6900,B3,0.115,D37-7,No,Yes,Yes,malT- 777del
7201,B3,0.114,D37-7,No,Yes,Yes,malT- 777del
7500,B3,0.115,D37-7,No,Yes,Yes,malT- 777del
7801,B3,0.116,D37-7,No,Yes,Yes,malT- 777del
8100,B3,0.116,D37-7,No,Yes,Yes,malT- 777del
8400,B3,0.115,D37-7,No,Yes,Yes,malT- 777del
8700,B3,0.116,D37-7,No,Yes,Yes,malT- 777del
9000,B3,0.115,D37-7,No,Yes,Yes,malT- 777del
9301,B3,0.115,D37-7,No,Yes,Yes,malT- 777del
9600,B3,0.115,D37-7,No,Yes,Yes,malT- 777del
9901,B3,0.115,D37-7,No,Yes,Yes,malT- 777del
10200,B3,0.115,D37-7,No,Yes,Yes,malT- 777del
10501,B3,0.115,D37-7,No,Yes,Yes,malT- 777del
10800,B3,0.115,D37-7,No,Yes,Yes,malT- 777del
11100,B3,0.115,D37-7,No,Yes,Yes,malT- 777del
11400,B3,0.115,D37-7,No,Yes,Yes,malT- 777del
11700,B3,0.115,D37-7,No,Yes,Yes,malT- 777del
12001,B3,0.115,D37-7,No,Yes,Yes,malT- 777del
12300,B3,0.115,D37-7,No,Yes,Yes,malT- 777del
12601,B3,0.115,D37-7,No,Yes,Yes,malT- 777del
12900,B3,0.115,D37-7,No,Yes,Yes,malT- 777del
13201,B3,0.115,D37-7,No,Yes,Yes,malT- 777del
13500,B3,0.116,D37-7,No,Yes,Yes,malT- 777del
13800,B3,0.116,D37-7,No,Yes,Yes,malT- 777del
14100,B3,0.116,D37-7,No,Yes,Yes,malT- 777del
14400,B3,0.116,D37-7,No,Yes,Yes,malT- 777del
14701,B3,0.116,D37-7,No,Yes,Yes,malT- 777del
15000,B3,0.116,D37-7,No,Yes,Yes,malT- 777del
15301,B3,0.115,D37-7,No,Yes,Yes,malT- 777del
15600,B3,0.116,D37-7,No,Yes,Yes,malT- 777del
15901,B3,0.116,D37-7,No,Yes,Yes,malT- 777del
16200,B3,0.116,D37-7,No,Yes,Yes,malT- 777del
16500,B3,0.116,D37-7,No,Yes,Yes,malT- 777del
16800,B3,0.116,D37-7,No,Yes,Yes,malT- 777del
17100,B3,0.116,D37-7,No,Yes,Yes,malT- 777del
17401,B3,0.116,D37-7,No,Yes,Yes,malT- 777del
17700,B3,0.116,D37-7,No,Yes,Yes,malT- 777del
18001,B3,0.117,D37-7,No,Yes,Yes,malT- 777del
18300,B3,0.116,D37-7,No,Yes,Yes,malT- 777del
18601,B3,0.117,D37-7,No,Yes,Yes,malT- 777del
18900,B3,0.117,D37-7,No,Yes,Yes,malT- 777del
19200,B3,0.117,D37-7,No,Yes,Yes,malT- 777del
19500,B3,0.117,D37-7,No,Yes,Yes,malT- 777del
19800,B3,0.117,D37-7,No,Yes,Yes,malT- 777del
20101,B3,0.116,D37-7,No,Yes,Yes,malT- 777del
20400,B3,0.117,D37-7,No,Yes,Yes,malT- 777del
20701,B3,0.117,D37-7,No,Yes,Yes,malT- 777del
21000,B3,0.117,D37-7,No,Yes,Yes,malT- 777del
21301,B3,0.117,D37-7,No,Yes,Yes,malT- 777del
21600,B3,0.117,D37-7,No,Yes,Yes,malT- 777del
21900,B3,0.117,D37-7,No,Yes,Yes,malT- 777del
22200,B3,0.117,D37-7,No,Yes,Yes,malT- 777del
22500,B3,0.117,D37-7,No,Yes,Yes,malT- 777del
22801,B3,0.118,D37-7,No,Yes,Yes,malT- 777del
23100,B3,0.118,D37-7,No,Yes,Yes,malT- 777del
23401,B3,0.119,D37-7,No,Yes,Yes,malT- 777del
23700,B3,0.119,D37-7,No,Yes,Yes,malT- 777del
24001,B3,0.12,D37-7,No,Yes,Yes,malT- 777del
24300,B3,0.12,D37-7,No,Yes,Yes,malT- 777del
24600,B3,0.121,D37-7,No,Yes,Yes,malT- 777del
24900,B3,0.121,D37-7,No,Yes,Yes,malT- 777del
25200,B3,0.123,D37-7,No,Yes,Yes,malT- 777del
25501,B3,0.123,D37-7,No,Yes,Yes,malT- 777del
25800,B3,0.125,D37-7,No,Yes,Yes,malT- 777del
26101,B3,0.126,D37-7,No,Yes,Yes,malT- 777del
26400,B3,0.128,D37-7,No,Yes,Yes,malT- 777del
26701,B3,0.13,D37-7,No,Yes,Yes,malT- 777del
27000,B3,0.132,D37-7,No,Yes,Yes,malT- 777del
27300,B3,0.135,D37-7,No,Yes,Yes,malT- 777del
27600,B3,0.138,D37-7,No,Yes,Yes,malT- 777del
27900,B3,0.142,D37-7,No,Yes,Yes,malT- 777del
28201,B3,0.147,D37-7,No,Yes,Yes,malT- 777del
28500,B3,0.152,D37-7,No,Yes,Yes,malT- 777del
28801,B3,0.158,D37-7,No,Yes,Yes,malT- 777del
29100,B3,0.163,D37-7,No,Yes,Yes,malT- 777del
29401,B3,0.171,D37-7,No,Yes,Yes,malT- 777del
29700,B3,0.178,D37-7,No,Yes,Yes,malT- 777del
30000,B3,0.185,D37-7,No,Yes,Yes,malT- 777del
30300,B3,0.194,D37-7,No,Yes,Yes,malT- 777del
30600,B3,0.202,D37-7,No,Yes,Yes,malT- 777del
30901,B3,0.211,D37-7,No,Yes,Yes,malT- 777del
31200,B3,0.222,D37-7,No,Yes,Yes,malT- 777del
31501,B3,0.232,D37-7,No,Yes,Yes,malT- 777del
31800,B3,0.245,D37-7,No,Yes,Yes,malT- 777del
32101,B3,0.256,D37-7,No,Yes,Yes,malT- 777del
32400,B3,0.267,D37-7,No,Yes,Yes,malT- 777del
32700,B3,0.278,D37-7,No,Yes,Yes,malT- 777del
33000,B3,0.29,D37-7,No,Yes,Yes,malT- 777del
33300,B3,0.301,D37-7,No,Yes,Yes,malT- 777del
33601,B3,0.315,D37-7,No,Yes,Yes,malT- 777del
33900,B3,0.329,D37-7,No,Yes,Yes,malT- 777del
34201,B3,0.34,D37-7,No,Yes,Yes,malT- 777del
34500,B3,0.352,D37-7,No,Yes,Yes,malT- 777del
34801,B3,0.362,D37-7,No,Yes,Yes,malT- 777del
35100,B3,0.373,D37-7,No,Yes,Yes,malT- 777del
35400,B3,0.385,D37-7,No,Yes,Yes,malT- 777del
35700,B3,0.398,D37-7,No,Yes,Yes,malT- 777del
36000,B3,0.411,D37-7,No,Yes,Yes,malT- 777del
36301,B3,0.425,D37-7,No,Yes,Yes,malT- 777del
36600,B3,0.436,D37-7,No,Yes,Yes,malT- 777del
36901,B3,0.445,D37-7,No,Yes,Yes,malT- 777del
37200,B3,0.455,D37-7,No,Yes,Yes,malT- 777del
37501,B3,0.464,D37-7,No,Yes,Yes,malT- 777del
37800,B3,0.473,D37-7,No,Yes,Yes,malT- 777del
38100,B3,0.482,D37-7,No,Yes,Yes,malT- 777del
38400,B3,0.49,D37-7,No,Yes,Yes,malT- 777del
38700,B3,0.498,D37-7,No,Yes,Yes,malT- 777del
39001,B3,0.507,D37-7,No,Yes,Yes,malT- 777del
39300,B3,0.518,D37-7,No,Yes,Yes,malT- 777del
39601,B3,0.529,D37-7,No,Yes,Yes,malT- 777del
39900,B3,0.538,D37-7,No,Yes,Yes,malT- 777del
40201,B3,0.544,D37-7,No,Yes,Yes,malT- 777del
40500,B3,0.553,D37-7,No,Yes,Yes,malT- 777del
40800,B3,0.56,D37-7,No,Yes,Yes,malT- 777del
41100,B3,0.566,D37-7,No,Yes,Yes,malT- 777del
41400,B3,0.571,D37-7,No,Yes,Yes,malT- 777del
41701,B3,0.576,D37-7,No,Yes,Yes,malT- 777del
42000,B3,0.583,D37-7,No,Yes,Yes,malT- 777del
42301,B3,0.591,D37-7,No,Yes,Yes,malT- 777del
42600,B3,0.592,D37-7,No,Yes,Yes,malT- 777del
42901,B3,0.598,D37-7,No,Yes,Yes,malT- 777del
43200,B3,0.602,D37-7,No,Yes,Yes,malT- 777del
43500,B3,0.605,D37-7,No,Yes,Yes,malT- 777del
43800,B3,0.61,D37-7,No,Yes,Yes,malT- 777del
44100,B3,0.612,D37-7,No,Yes,Yes,malT- 777del
44401,B3,0.617,D37-7,No,Yes,Yes,malT- 777del
44700,B3,0.621,D37-7,No,Yes,Yes,malT- 777del
45001,B3,0.624,D37-7,No,Yes,Yes,malT- 777del
45300,B3,0.625,D37-7,No,Yes,Yes,malT- 777del
45601,B3,0.629,D37-7,No,Yes,Yes,malT- 777del
45900,B3,0.63,D37-7,No,Yes,Yes,malT- 777del
46200,B3,0.637,D37-7,No,Yes,Yes,malT- 777del
46500,B3,0.64,D37-7,No,Yes,Yes,malT- 777del
46800,B3,0.643,D37-7,No,Yes,Yes,malT- 777del
47101,B3,0.645,D37-7,No,Yes,Yes,malT- 777del
47400,B3,0.648,D37-7,No,Yes,Yes,malT- 777del
47701,B3,0.649,D37-7,No,Yes,Yes,malT- 777del
48000,B3,0.65,D37-7,No,Yes,Yes,malT- 777del
48301,B3,0.653,D37-7,No,Yes,Yes,malT- 777del
48600,B3,0.657,D37-7,No,Yes,Yes,malT- 777del
48900,B3,0.66,D37-7,No,Yes,Yes,malT- 777del
49200,B3,0.663,D37-7,No,Yes,Yes,malT- 777del
49500,B3,0.664,D37-7,No,Yes,Yes,malT- 777del
49801,B3,0.667,D37-7,No,Yes,Yes,malT- 777del
50100,B3,0.669,D37-7,No,Yes,Yes,malT- 777del
50401,B3,0.67,D37-7,No,Yes,Yes,malT- 777del
50700,B3,0.672,D37-7,No,Yes,Yes,malT- 777del
51001,B3,0.672,D37-7,No,Yes,Yes,malT- 777del
51300,B3,0.674,D37-7,No,Yes,Yes,malT- 777del
51600,B3,0.676,D37-7,No,Yes,Yes,malT- 777del
51900,B3,0.677,D37-7,No,Yes,Yes,malT- 777del
52200,B3,0.679,D37-7,No,Yes,Yes,malT- 777del
52501,B3,0.681,D37-7,No,Yes,Yes,malT- 777del
52800,B3,0.683,D37-7,No,Yes,Yes,malT- 777del
53101,B3,0.684,D37-7,No,Yes,Yes,malT- 777del
53400,B3,0.685,D37-7,No,Yes,Yes,malT- 777del
53701,B3,0.686,D37-7,No,Yes,Yes,malT- 777del
54000,B3,0.688,D37-7,No,Yes,Yes,malT- 777del
54300,B3,0.689,D37-7,No,Yes,Yes,malT- 777del
54600,B3,0.691,D37-7,No,Yes,Yes,malT- 777del
54900,B3,0.694,D37-7,No,Yes,Yes,malT- 777del
55201,B3,0.696,D37-7,No,Yes,Yes,malT- 777del
55500,B3,0.696,D37-7,No,Yes,Yes,malT- 777del
55801,B3,0.698,D37-7,No,Yes,Yes,malT- 777del
56100,B3,0.699,D37-7,No,Yes,Yes,malT- 777del
56401,B3,0.701,D37-7,No,Yes,Yes,malT- 777del
56700,B3,0.703,D37-7,No,Yes,Yes,malT- 777del
57000,B3,0.707,D37-7,No,Yes,Yes,malT- 777del
57300,B3,0.708,D37-7,No,Yes,Yes,malT- 777del
57600,B3,0.712,D37-7,No,Yes,Yes,malT- 777del
57901,B3,0.714,D37-7,No,Yes,Yes,malT- 777del
58200,B3,0.717,D37-7,No,Yes,Yes,malT- 777del
